title,description,location,price,label
Music Concert in Nuwara Eliya,"Join the music concert happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,1000,real
Win Free iPhone Matara,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Matara,2000,fake
Music Concert in Colombo,"Join the music concert happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,1000,real
Educational Workshop in Kandy,"Join the educational workshop happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,1000,real
Buddhist Ceremony in Trincomalee,"Join the buddhist ceremony happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,1500,real
Handicraft Fair in Ratnapura,"Join the handicraft fair happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,2000,real
Lottery Winner Event Colombo,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Colombo,2000,fake
Community Festival in Kandy,"Join the community festival happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,2000,real
Buddhist Ceremony in Ratnapura,"Join the buddhist ceremony happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,0,real
Music Concert in Negombo,"Join the music concert happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,1500,real
Win Free iPhone Ratnapura,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Ratnapura,0,fake
Buddhist Ceremony in Negombo,"Join the buddhist ceremony happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,1500,real
Lottery Winner Event Anuradhapura,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Anuradhapura,2000,fake
Food Festival in Ratnapura,"Join the food festival happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,500,real
Cultural Dance Show in Negombo,"Join the cultural dance show happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,0,real
Food Festival in Polonnaruwa,"Join the food festival happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,2000,real
Urgent VIP Ticket Offer Trincomalee,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Trincomalee,5000,fake
Crypto Double Money Event Anuradhapura,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Anuradhapura,2000,fake
Educational Workshop in Galle,"Join the educational workshop happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,1500,real
Urgent VIP Ticket Offer Galle,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Galle,0,fake
Lottery Winner Event Kurunegala,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Kurunegala,5000,fake
Temple Perahera in Kandy,"Join the temple perahera happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,0,real
Buddhist Ceremony in Nuwara Eliya,"Join the buddhist ceremony happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,500,real
Handicraft Fair in Kalutara,"Join the handicraft fair happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,1500,real
Cultural Dance Show in Negombo,"Join the cultural dance show happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,2000,real
Buddhist Ceremony in Galle,"Join the buddhist ceremony happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,500,real
Music Concert in Galle,"Join the music concert happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,1000,real
Cultural Dance Show in Batticaloa,"Join the cultural dance show happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,0,real
Lottery Winner Event Ratnapura,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Ratnapura,1000,fake
Temple Perahera in Polonnaruwa,"Join the temple perahera happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,2000,real
Temple Perahera in Matara,"Join the temple perahera happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,500,real
Food Festival in Jaffna,"Join the food festival happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,2000,real
Community Festival in Jaffna,"Join the community festival happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,1500,real
Win Free iPhone Colombo,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Colombo,0,fake
Win Free iPhone Matara,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Matara,5000,fake
Temple Perahera in Kurunegala,"Join the temple perahera happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,1000,real
Village Drama in Batticaloa,"Join the village drama happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,2000,real
Cultural Dance Show in Galle,"Join the cultural dance show happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,2000,real
Music Concert in Nuwara Eliya,"Join the music concert happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,2000,real
Crypto Double Money Event Trincomalee,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Trincomalee,2000,fake
Educational Workshop in Badulla,"Join the educational workshop happening in Badulla. Enjoy cultural performances, food stalls, and community activities.",Badulla,1000,real
Village Drama in Batticaloa,"Join the village drama happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,2000,real
Urgent VIP Ticket Offer Colombo,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Colombo,0,fake
Music Concert in Kalutara,"Join the music concert happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,1000,real
Village Drama in Trincomalee,"Join the village drama happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,1000,real
Food Festival in Anuradhapura,"Join the food festival happening in Anuradhapura. Enjoy cultural performances, food stalls, and community activities.",Anuradhapura,2000,real
Community Festival in Kalutara,"Join the community festival happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,500,real
Win Free iPhone Badulla,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Badulla,1000,fake
Urgent VIP Ticket Offer Batticaloa,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Batticaloa,1000,fake
Crypto Double Money Event Jaffna,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Jaffna,0,fake
Lottery Winner Event Anuradhapura,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Anuradhapura,1000,fake
Educational Workshop in Kalutara,"Join the educational workshop happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,1000,real
Crypto Double Money Event Kalutara,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Kalutara,5000,fake
Music Concert in Ratnapura,"Join the music concert happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,1500,real
Village Drama in Galle,"Join the village drama happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,1000,real
Art Exhibition in Matara,"Join the art exhibition happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,1500,real
Food Festival in Kurunegala,"Join the food festival happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,1000,real
Buddhist Ceremony in Matara,"Join the buddhist ceremony happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,2000,real
Music Concert in Galle,"Join the music concert happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,2000,real
Handicraft Fair in Negombo,"Join the handicraft fair happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,500,real
Temple Perahera in Jaffna,"Join the temple perahera happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,1500,real
Village Drama in Galle,"Join the village drama happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,1000,real
Buddhist Ceremony in Badulla,"Join the buddhist ceremony happening in Badulla. Enjoy cultural performances, food stalls, and community activities.",Badulla,2000,real
Buddhist Ceremony in Trincomalee,"Join the buddhist ceremony happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,2000,real
Cultural Dance Show in Batticaloa,"Join the cultural dance show happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,500,real
Educational Workshop in Jaffna,"Join the educational workshop happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,500,real
Music Concert in Colombo,"Join the music concert happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,1000,real
Art Exhibition in Batticaloa,"Join the art exhibition happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,2000,real
Music Concert in Jaffna,"Join the music concert happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,500,real
Win Free iPhone Kandy,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Kandy,0,fake
Urgent VIP Ticket Offer Kalutara,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Kalutara,5000,fake
Lottery Winner Event Batticaloa,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Batticaloa,5000,fake
Handicraft Fair in Galle,"Join the handicraft fair happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,2000,real
Buddhist Ceremony in Kurunegala,"Join the buddhist ceremony happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,0,real
Village Drama in Kalutara,"Join the village drama happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,1000,real
Music Concert in Kandy,"Join the music concert happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,1500,real
Art Exhibition in Nuwara Eliya,"Join the art exhibition happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,0,real
Buddhist Ceremony in Kurunegala,"Join the buddhist ceremony happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,0,real
Village Drama in Jaffna,"Join the village drama happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,1000,real
Food Festival in Badulla,"Join the food festival happening in Badulla. Enjoy cultural performances, food stalls, and community activities.",Badulla,1000,real
Cultural Dance Show in Matara,"Join the cultural dance show happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,1000,real
Art Exhibition in Colombo,"Join the art exhibition happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,0,real
Temple Perahera in Batticaloa,"Join the temple perahera happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,1000,real
Community Festival in Kandy,"Join the community festival happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,1500,real
Cultural Dance Show in Ratnapura,"Join the cultural dance show happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,500,real
Educational Workshop in Nuwara Eliya,"Join the educational workshop happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,2000,real
Art Exhibition in Galle,"Join the art exhibition happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,1000,real
Urgent VIP Ticket Offer Kurunegala,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Kurunegala,0,fake
Buddhist Ceremony in Anuradhapura,"Join the buddhist ceremony happening in Anuradhapura. Enjoy cultural performances, food stalls, and community activities.",Anuradhapura,1000,real
Community Festival in Kandy,"Join the community festival happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,0,real
Village Drama in Batticaloa,"Join the village drama happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,1500,real
Urgent VIP Ticket Offer Kurunegala,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Kurunegala,2000,fake
Crypto Double Money Event Galle,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Galle,5000,fake
Cultural Dance Show in Batticaloa,"Join the cultural dance show happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,0,real
Music Concert in Colombo,"Join the music concert happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,0,real
Crypto Double Money Event Negombo,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Negombo,5000,fake
Educational Workshop in Negombo,"Join the educational workshop happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,0,real
Win Free iPhone Jaffna,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Jaffna,2000,fake
Art Exhibition in Kandy,"Join the art exhibition happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,1000,real
Handicraft Fair in Jaffna,"Join the handicraft fair happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,1000,real
Food Festival in Trincomalee,"Join the food festival happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,500,real
Buddhist Ceremony in Polonnaruwa,"Join the buddhist ceremony happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,1500,real
Food Festival in Jaffna,"Join the food festival happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,2000,real
Art Exhibition in Polonnaruwa,"Join the art exhibition happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,500,real
Limited Prize Giveaway Badulla,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Badulla,0,fake
Limited Prize Giveaway Anuradhapura,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Anuradhapura,2000,fake
Urgent VIP Ticket Offer Galle,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Galle,5000,fake
Limited Prize Giveaway Nuwara Eliya,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Nuwara Eliya,2000,fake
Village Drama in Jaffna,"Join the village drama happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,0,real
Limited Prize Giveaway Kurunegala,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Kurunegala,2000,fake
Village Drama in Nuwara Eliya,"Join the village drama happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,0,real
Lottery Winner Event Anuradhapura,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Anuradhapura,5000,fake
Urgent VIP Ticket Offer Trincomalee,Hurry! Urgent VIP Ticket Offer. Send payment immediately to secure your reward or VIP access.,Trincomalee,0,fake
Village Drama in Colombo,"Join the village drama happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,2000,real
Village Drama in Nuwara Eliya,"Join the village drama happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,2000,real
Educational Workshop in Matara,"Join the educational workshop happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,500,real
Crypto Double Money Event Galle,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Galle,2000,fake
Cultural Dance Show in Trincomalee,"Join the cultural dance show happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,2000,real
Village Drama in Kandy,"Join the village drama happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,500,real
Buddhist Ceremony in Kalutara,"Join the buddhist ceremony happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,0,real
Food Festival in Batticaloa,"Join the food festival happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,1000,real
Temple Perahera in Badulla,"Join the temple perahera happening in Badulla. Enjoy cultural performances, food stalls, and community activities.",Badulla,1000,real
Cultural Dance Show in Kurunegala,"Join the cultural dance show happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,2000,real
Music Concert in Trincomalee,"Join the music concert happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,500,real
Village Drama in Kurunegala,"Join the village drama happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,0,real
Limited Prize Giveaway Batticaloa,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Batticaloa,5000,fake
Music Concert in Kalutara,"Join the music concert happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,1500,real
Food Festival in Kurunegala,"Join the food festival happening in Kurunegala. Enjoy cultural performances, food stalls, and community activities.",Kurunegala,2000,real
Buddhist Ceremony in Anuradhapura,"Join the buddhist ceremony happening in Anuradhapura. Enjoy cultural performances, food stalls, and community activities.",Anuradhapura,0,real
Handicraft Fair in Jaffna,"Join the handicraft fair happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,2000,real
Food Festival in Batticaloa,"Join the food festival happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,0,real
Buddhist Ceremony in Negombo,"Join the buddhist ceremony happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,500,real
Art Exhibition in Batticaloa,"Join the art exhibition happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,2000,real
Lottery Winner Event Ratnapura,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Ratnapura,2000,fake
Win Free iPhone Ratnapura,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Ratnapura,1000,fake
Art Exhibition in Negombo,"Join the art exhibition happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,500,real
Cultural Dance Show in Anuradhapura,"Join the cultural dance show happening in Anuradhapura. Enjoy cultural performances, food stalls, and community activities.",Anuradhapura,1500,real
Music Concert in Nuwara Eliya,"Join the music concert happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,2000,real
Handicraft Fair in Jaffna,"Join the handicraft fair happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,500,real
Lottery Winner Event Badulla,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Badulla,5000,fake
Music Concert in Matara,"Join the music concert happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,500,real
Temple Perahera in Badulla,"Join the temple perahera happening in Badulla. Enjoy cultural performances, food stalls, and community activities.",Badulla,1000,real
Music Concert in Trincomalee,"Join the music concert happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,500,real
Temple Perahera in Batticaloa,"Join the temple perahera happening in Batticaloa. Enjoy cultural performances, food stalls, and community activities.",Batticaloa,500,real
Win Free iPhone Colombo,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Colombo,5000,fake
Village Drama in Ratnapura,"Join the village drama happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,2000,real
Temple Perahera in Polonnaruwa,"Join the temple perahera happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,1500,real
Music Concert in Negombo,"Join the music concert happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,0,real
Educational Workshop in Jaffna,"Join the educational workshop happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,0,real
Music Concert in Polonnaruwa,"Join the music concert happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,500,real
Village Drama in Polonnaruwa,"Join the village drama happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,1500,real
Music Concert in Negombo,"Join the music concert happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,0,real
Temple Perahera in Galle,"Join the temple perahera happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,500,real
Food Festival in Colombo,"Join the food festival happening in Colombo. Enjoy cultural performances, food stalls, and community activities.",Colombo,500,real
Educational Workshop in Matara,"Join the educational workshop happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,0,real
Lottery Winner Event Galle,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Galle,5000,fake
Limited Prize Giveaway Jaffna,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Jaffna,5000,fake
Buddhist Ceremony in Matara,"Join the buddhist ceremony happening in Matara. Enjoy cultural performances, food stalls, and community activities.",Matara,0,real
Educational Workshop in Negombo,"Join the educational workshop happening in Negombo. Enjoy cultural performances, food stalls, and community activities.",Negombo,1500,real
Cultural Dance Show in Ratnapura,"Join the cultural dance show happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,1000,real
Lottery Winner Event Polonnaruwa,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Polonnaruwa,0,fake
Crypto Double Money Event Kurunegala,Hurry! Crypto Double Money Event. Send payment immediately to secure your reward or VIP access.,Kurunegala,1000,fake
Music Concert in Jaffna,"Join the music concert happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,2000,real
Art Exhibition in Polonnaruwa,"Join the art exhibition happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,500,real
Win Free iPhone Kalutara,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Kalutara,2000,fake
Limited Prize Giveaway Galle,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Galle,5000,fake
Music Concert in Badulla,"Join the music concert happening in Badulla. Enjoy cultural performances, food stalls, and community activities.",Badulla,1500,real
Community Festival in Jaffna,"Join the community festival happening in Jaffna. Enjoy cultural performances, food stalls, and community activities.",Jaffna,500,real
Educational Workshop in Anuradhapura,"Join the educational workshop happening in Anuradhapura. Enjoy cultural performances, food stalls, and community activities.",Anuradhapura,0,real
Temple Perahera in Galle,"Join the temple perahera happening in Galle. Enjoy cultural performances, food stalls, and community activities.",Galle,0,real
Food Festival in Ratnapura,"Join the food festival happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,1500,real
Music Concert in Trincomalee,"Join the music concert happening in Trincomalee. Enjoy cultural performances, food stalls, and community activities.",Trincomalee,1000,real
Educational Workshop in Polonnaruwa,"Join the educational workshop happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,1000,real
Win Free iPhone Galle,Hurry! Win Free iPhone. Send payment immediately to secure your reward or VIP access.,Galle,0,fake
Educational Workshop in Ratnapura,"Join the educational workshop happening in Ratnapura. Enjoy cultural performances, food stalls, and community activities.",Ratnapura,0,real
Lottery Winner Event Trincomalee,Hurry! Lottery Winner Event. Send payment immediately to secure your reward or VIP access.,Trincomalee,5000,fake
Limited Prize Giveaway Badulla,Hurry! Limited Prize Giveaway. Send payment immediately to secure your reward or VIP access.,Badulla,2000,fake
Handicraft Fair in Polonnaruwa,"Join the handicraft fair happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,0,real
Cultural Dance Show in Nuwara Eliya,"Join the cultural dance show happening in Nuwara Eliya. Enjoy cultural performances, food stalls, and community activities.",Nuwara Eliya,500,real
Educational Workshop in Kalutara,"Join the educational workshop happening in Kalutara. Enjoy cultural performances, food stalls, and community activities.",Kalutara,0,real
Handicraft Fair in Polonnaruwa,"Join the handicraft fair happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,2000,real
Village Drama in Kandy,"Join the village drama happening in Kandy. Enjoy cultural performances, food stalls, and community activities.",Kandy,0,real
Village Drama in Polonnaruwa,"Join the village drama happening in Polonnaruwa. Enjoy cultural performances, food stalls, and community activities.",Polonnaruwa,2000,real
